XCoord,YCoord,OBJECTID,XCOORD,YCOORD,ID,ID2,X,Y,WHITE,HISP,BLWPOV,MEDINC,UPTOHIGH,INS,MEDICARE,MEDICAID,URBAN1,URBAN2,BORDER2,DISTANCE1,DISTANCE2,DISTANCE
1771177.71400000,7612596.68600000,89,1771177.714000,7612596.686000,1500000US484391113111,484391000000.000000,1771177.714000,7612596.686000,0.692017,0.151906,0.058399,5.031283,0.233896,0.938918,0.016315,0.042977,1,1,0,3787.521487,3787.521487,3758.183964
1768885.40100000,7612949.50800000,90,1768885.401000,7612949.508000,1500000US484391115514,484391000000.000000,1768885.401000,7612949.508000,0.774604,0.084909,0.064198,4.960233,0.199327,0.913920,0.030244,0.056223,1,1,0,5145.946443,5145.946443,1607.582981
1767978.51400000,7613158.54600000,91,1767978.514000,7613158.546000,1500000US484391115512,484391000000.000000,1767978.514000,7613158.546000,0.589147,0.127132,0.000000,5.122478,0.203077,0.930233,0.000000,0.082171,1,1,0,5902.190730,5902.190730,1053.358247
1769632.96500000,7613251.12900000,92,1769632.965000,7613251.129000,1500000US484391115513,484391000000.000000,1769632.965000,7613251.129000,0.503268,0.088889,0.119843,4.820366,0.116989,0.863399,0.000000,0.045098,1,1,0,4977.669403,4977.669403,2412.657320
1767032.36700000,7613312.24200000,93,1767032.367000,7613312.242000,1500000US484391114061,484391000000.000000,1767032.367000,7613312.242000,0.740701,0.081296,0.025373,5.067933,0.162162,0.962274,0.040914,0.017535,1,1,0,6695.460274,6695.460274,1130.138880
1771890.22000000,7613654.70500000,94,1771890.220000,7613654.705000,1500000US484391113103,484391000000.000000,1771890.220000,7613654.705000,0.364775,0.165438,0.087342,4.941511,0.231321,0.841931,0.013633,0.086220,1,1,0,4739.184059,4739.184059,4669.563966
1769050.43300000,7614429.93100000,95,1769050.433000,7614429.931000,1500000US484391115501,484391000000.000000,1769050.433000,7614429.931000,0.497516,0.326762,0.075866,4.864066,0.441637,0.668426,0.005433,0.106178,1,1,0,6290.909844,6290.909844,2708.240768
1770836.05500000,7614494.45000000,96,1770836.055000,7614494.450000,1500000US484391115502,484391000000.000000,1770836.055000,7614494.450000,0.550365,0.202178,0.056052,4.927242,0.299009,0.870612,0.024216,0.030807,1,1,0,5713.187590,5713.187590,4071.466266
1769286.92600000,7616002.17400000,97,1769286.926000,7616002.174000,1500000US484391115442,484391000000.000000,1769286.926000,7616002.174000,0.513934,0.246471,0.080207,4.832605,0.342776,0.900407,0.033321,0.115883,1,1,0,5170.244193,5170.244193,4178.712245
1748367.29700000,7627977.29900000,98,1748367.297000,7627977.299000,1500000US484391233001,484391000000.000000,1748367.297000,7627977.299000,0.913849,0.052335,0.052925,4.855822,0.238946,0.960746,0.126595,0.000000,1,1,0,884.733511,884.733511,544.973655
1751152.55800000,7628373.02200000,99,1751152.558000,7628373.022000,1500000US484391017001,484391000000.000000,1751152.558000,7628373.022000,0.301027,0.219713,0.850312,3.960518,0.502560,0.760164,0.027926,0.586858,1,1,0,2572.185501,2572.185501,2280.760142
1749896.11600000,7628831.76000000,100,1749896.116000,7628831.760000,1500000US484391233002,484391000000.000000,1749896.116000,7628831.760000,0.649630,0.150755,0.148045,4.770852,0.273775,0.886501,0.023506,0.058428,1,1,0,1960.711791,1960.711791,1218.532119
1746693.99800000,7629071.11800000,101,1746693.998000,7629071.118000,1500000US484391021002,484391000000.000000,1746693.998000,7629071.118000,0.453172,0.394260,0.308540,4.331529,0.473684,0.569486,0.022659,0.321752,1,1,0,2460.589925,2460.589925,2371.814199
1751706.35100000,7629101.53900000,102,1751706.351000,7629101.539000,1500000US484391017002,484391000000.000000,1751706.351000,7629101.539000,0.169978,0.410596,0.437500,4.235831,0.782875,0.567329,0.061810,0.260486,1,1,0,3468.071628,3468.071628,2978.290718
1746442.37300000,7629320.57900000,103,1746442.373000,7629320.579000,1500000US484391021001,484391000000.000000,1746442.373000,7629320.579000,0.819010,0.473958,0.445238,4.170232,0.528796,0.585938,0.102865,0.218750,1,1,0,2808.657822,2808.657822,2703.483538
1747581.03500000,7629369.85200000,104,1747581.035000,7629369.852000,1500000US484391020002,484391000000.000000,1747581.035000,7629369.852000,0.454545,0.725524,0.268817,4.891632,0.640264,0.482517,0.013986,0.237762,1,1,0,2393.789135,2393.789135,1779.440484
