"VIF.1","VIF.2","VIF.3","VIF.4","VIF.5","VIF.6","VIF.7","VIF.8","VIF.9","VIF.10","VIF.11","VIF.12","VIF.13"
"26",1.12995527827404,1.4044544920399,1.44151196161249,1.15316926003531,1.21125581857719,6.26543330928265,5.4173206909973,2.24867588610016,6.50384533038714,8.71001906777322,1.6340014521985,1.09516401963113,1.74090949294812
"27",1.64090503689157,1.70782763687347,1.99316371581833,1.43142645087321,1.30547776477205,2.49389089406567,1.66157596016004,1.97676707834291,2.26748807554482,2.42224874633904,1.1979486212428,1.14291521789377,1.40497809387316
"28",1.63688233129767,1.70622172908887,1.98294245799275,1.45967689038509,1.28628666220724,2.7044061381649,1.72447581811053,2.05468254019194,2.19457963684102,2.39166592374252,1.19831682207498,1.1606408741865,1.36751527945198
"29",1.68218210810113,1.80116900729705,2.06095821895971,1.39940087900424,1.31983742988886,2.5681172828226,1.824085124703,1.918157525076,2.35222882320047,2.73809599792726,1.19604050304325,1.17515975330131,1.48483435978057
"30",1.55425277524024,2.05147336690619,1.88255468728816,1.45018308392595,1.34252344147799,2.4220427446934,2.49202083840747,1.73376957339663,5.27826836329574,5.11006105036378,1.19771570908829,1.29721203395221,1.4068862222148
"31",1.61169178940353,2.01964962688783,2.00308091655521,1.43835177860191,1.34008091312994,2.54465306806187,2.70065569819373,1.7523060736152,4.65595826116927,5.03006637880939,1.20184548172747,1.29465787933471,1.40248394659744
"32",1.66549443934706,1.95702366736377,2.08254454716693,1.44434299025912,1.31800180220197,2.61384402056226,2.57272303748423,1.83847088777332,3.414841520706,4.31343363714363,1.20265187801318,1.28294255623921,1.43668442521103
"33",1.70680459126754,1.85961286603795,2.07471595266961,1.48516893118721,1.2899497523893,2.81352878946796,2.37827964168862,1.99623763978683,2.37769584597971,3.27948779235871,1.20524472716878,1.26874665206329,1.49330908909982
"34",1.61476926233757,1.908064447149,2.08758628046998,1.39678064966721,1.35321304487212,2.62957695168803,2.31902554350486,1.75136661447232,3.47454520687539,3.65989895361034,1.20238004627187,1.22419782244865,1.42107122812715
"35",1.53082481022597,2.02039297826091,1.90239592925225,1.41525570583055,1.34981797760476,2.4631324163393,2.75931411574745,1.70838647510093,5.80011449151107,5.233606819434,1.19607957159164,1.26503619270204,1.39315696487405
"36",1.45732260189184,1.99246607841449,1.86515341931071,1.402586583401,1.36985602670311,2.47414420500203,2.71391700409988,1.67333237366494,6.43679030933937,5.02664536653534,1.20508695556547,1.22853794510021,1.40329074190355
"37",1.17305786767008,1.64002118946906,1.47495255796888,1.16838403541818,1.23891799616299,3.31746768668392,4.03031461231358,1.58411539536967,4.69864885846773,4.66135655351698,1.38227301095547,1.09029769995951,1.28365514913032
"38",1.18832616228724,1.58624637212048,1.47515802126392,1.15415778481975,1.24689331833063,3.57547026903961,4.75842702727237,1.5591857701183,4.18958985588184,4.58022890204122,1.39040804962912,1.08347326867293,1.28244213054751
"39",1.19994684025733,1.59002209335757,1.4921381862817,1.16593115854673,1.25817817002052,3.27602450488448,4.0249087195212,1.52598659530827,3.99426990325393,4.03628728265407,1.37102309103709,1.08478098174464,1.27616444419057
"40",1.23830438812025,1.55628907788519,1.507771173708,1.16940705466595,1.28044883887746,3.26749920558749,4.04474692799707,1.44008547760356,3.46802440008291,3.67111516435114,1.36538121638897,1.08234028818397,1.27752804173626
"41",1.26840941454545,1.71515035415329,1.64658620723513,1.26175213086887,1.32331265521356,2.47446240253466,2.16104737397472,1.48513058062675,3.92509195607535,3.00674960568495,1.30693822797679,1.11007516563936,1.27412749603464
