"VIF.1","VIF.2","VIF.3","VIF.4","VIF.5","VIF.6","VIF.7","VIF.8","VIF.9","VIF.10","VIF.11","VIF.12"
"66",1.37947700431461,1.87475257802798,1.50086222266836,1.64659922226954,1.35722950870261,1.88324773798001,2.75709221499254,3.16600350153652,7.82729984863119,5.65870120558624,1.16272317999203,1.12477414400581
"67",1.38589350800287,1.85985680336297,1.50915957532182,1.62279149918364,1.34585276683728,2.06923378525772,3.32167143938818,3.40284975461234,7.82005862579296,5.44486453649879,1.16779277869328,1.09699856809442
"68",1.36181882328355,1.83963602247603,1.52327702118574,1.58154594157978,1.33846264168675,2.66935032097893,4.25968620155279,3.78848955322492,7.76447419902283,5.33368276687092,1.16487066663234,1.08333387582083
"69",1.46264972888804,1.86516746198766,1.5762121620445,1.74781528801239,1.33033483870434,1.73903492924203,3.28663693597264,4.49550610624158,6.68353903723361,4.89799947832252,1.15761394041137,1.0580401413733
"70",1.46618120906271,1.87075304940255,1.54732876160264,1.7708288620804,1.33191911527429,1.62867200521009,3.09535964647766,4.24983589219647,7.04460493798313,5.12486663964359,1.16249669848878,1.06300252374181
"71",1.40718474136688,1.8765698628443,1.48837834454432,1.69681342380666,1.35552317628813,1.77421889101463,2.76438989908128,3.37728931234898,7.64807733821374,5.58588873578527,1.16139522041796,1.10812672404469
"72",1.28261654206383,1.88536117294984,1.56107108363657,1.5170996385484,1.33770275052488,2.78363557604617,3.50939642079884,2.62664383361751,8.58484115476,5.58794094950854,1.1791318279008,1.15604110179995
"73",1.4363991362585,1.88121986897849,1.48860431885454,1.74678785140682,1.35136112651128,1.68112988433425,2.82575554010558,3.62568174931617,7.51413178963866,5.50514460950235,1.16261526795226,1.09258608450406
"74",1.39291727811291,1.94606956798637,1.62771936716804,1.54313767788292,1.4142648139114,2.14193938928321,2.91002461470113,2.90958215593324,9.05802537226326,7.44191445952557,1.18834950759312,1.23617705975445
"75",1.33086021708979,1.87981943886272,1.54786220962652,1.55638656784406,1.35216679623477,2.27129309599524,3.14955812363374,2.82380357197743,8.39282730014896,5.71654090804707,1.17539227459379,1.15020715250516
"76",1.35909510087011,1.82018159647861,1.52218784635035,1.55940880399963,1.33619838777836,3.23319921263604,5.27522694230982,4.54298483357228,7.47668227870714,5.24019343150834,1.15719070625809,1.07068020900303
"77",1.1662008924551,1.23100108844962,1.52809480341514,1.27224024237641,1.23920489513841,4.58263131572729,8.50328690396054,3.43172990615727,2.75379518087845,7.34460845426723,1.56283964807389,1.10492921826809
"78",1.16281499349721,1.23166897677266,1.53689764492973,1.26152935593477,1.24592979922783,4.62109182336045,8.2335324346808,3.48678271896895,2.83646092871163,7.31443632463758,1.57511126266763,1.10585162046791
"79",1.13518496083756,1.20844077780711,1.49401713555842,1.26118770491826,1.22350831217626,4.80471006007278,9.11702252589145,3.21355042609217,2.84115859335068,7.78753324678144,1.55461639970017,1.10410764421727
"80",1.14669357947347,1.21784489460892,1.51551700659861,1.24768068984449,1.23267814509388,4.7055453253322,8.49201889826928,3.34519669650664,2.88989360921433,7.45759409231033,1.5715003171369,1.10319761544781
"81",1.09046558490093,1.1898867705589,1.46595904572098,1.19871138099495,1.21121606855356,5.25010785737786,9.16863805240475,3.0199325840039,3.3427849548687,8.29362182275056,1.57780900625435,1.10120751251512
